,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
165,166,COCLÉ,OLÁ,EL COPE,8.0,0.0,8.0,0.0,0.0,0.0,532174.734139625,936320.428464698,9a5fef0c-6a4f-4406-98db-bc59c798542c
166,167,COCLÉ,OLÁ,EL PALMAR,,,,,,,531661.003734763,947300.201363319,6bacb0aa-4a6a-499b-a14c-f2d4ccc00c34
167,168,COCLÉ,OLÁ,EL PICACHO,,,,,,,539515.083129299,927441.857141953,239611be-38b7-4331-9d84-46f956b6dd18
168,169,COCLÉ,OLÁ,LA PAVA,5.0,1.0,3.0,0.0,0.0,1.0,543001.984790783,936195.561051464,69ddba2f-6ad8-441a-ab50-b89ec7a956a1
169,170,COCLÉ,OLÁ,OLA  (CABECERA),7.0,0.0,0.0,0.0,0.0,7.0,537396.178570515,935773.462378227,04ea66cf-6c1a-4713-b047-817929514aeb
170,171,COCLÉ,PENONOMÉ,CAÑAVERAL,30.0,0.0,16.0,0.0,0.0,14.0,564168.913573587,942071.138824946,8ea11f17-a8ab-4557-8878-a1420134e1c9
171,172,COCLÉ,PENONOMÉ,CHIGUIRI ARRIBA,5.0,0.0,1.0,0.0,0.0,4.0,590576.560594292,962947.371281884,83d91732-4300-485a-8367-560715484a25
172,173,COCLÉ,PENONOMÉ,COCLE,10.0,0.0,4.0,0.0,0.0,6.0,563639.999561243,929396.272202756,b6cac36e-145f-4895-98e3-2e878b36ad82
173,174,COCLÉ,PENONOMÉ,EL COCO,26.0,1.0,3.0,1.0,0.0,21.0,571076.598630016,929779.714667746,2299d255-3553-4f0e-ad73-378e0ebee04c
174,175,COCLÉ,PENONOMÉ,PAJONAL,45.0,1.0,34.0,0.0,0.0,10.0,581807.83255978,949699.473475558,551bd897-839a-4c8e-ae31-9f1a8abbb1cc
175,176,COCLÉ,PENONOMÉ,PENONOME (CABECERA),113.0,4.0,65.0,2.0,0.0,42.0,570641.263196649,942812.614018249,c8cdd4a1-8bd1-45bc-b779-ed5a345e2c3a
176,177,COCLÉ,PENONOMÉ,RIO GRANDE,3.0,0.0,3.0,0.0,0.0,0.0,557692.927609595,933762.169840483,3328e39e-2254-4575-9c5c-228d92e93603
177,178,COCLÉ,PENONOMÉ,RIO INDIO,,,,,,,585107.478770335,984620.939672649,96713873-ae67-4901-a23c-571893f733c1
