r0;Comuna;Fecha;DIA;Nuevos Confirmados;Nuevos Fallecidos;Nuevos Recuperados;Población
1,4;Las Palmas;44002;16;32;0;0;17568
NA;Las Tablas;43988;2;0;0;0;28110
0;Las Tablas;43989;3;0;0;0;28110
0;Las Tablas;43990;4;0;0;0;28110
1,4;Las Tablas;43991;5;77;1;179;28110
1,4;Las Tablas;43992;6;0;0;0;28110
1,4;Las Tablas;43993;7;56;2;40;28110
1,5;Las Tablas;43994;8;0;0;0;28110
1,4;Las Tablas;43995;9;41;0;117;28110
1,4;Las Tablas;43996;10;19;0;0;28110
1,4;Las Tablas;43997;11;22;0;3;28110
1,4;Las Tablas;43998;12;14;0;0;28110
1,4;Las Tablas;43999;13;0;0;0;28110
1,4;Las Tablas;44000;14;41;1;1;28110
1,4;Las Tablas;44001;15;49;1;27;28110
1,4;Las Tablas;44002;16;44;0;5;28110
NA;Los Pozos;43988;2;0;0;0;7418
0;Los Pozos;43989;3;0;0;0;7418
0;Los Pozos;43990;4;0;0;0;7418
-0,5;Los Pozos;43991;5;2;0;0;7418
-0,4;Los Pozos;43992;6;0;0;0;7418
-0,7;Los Pozos;43993;7;4;0;0;7418
-0,6;Los Pozos;43994;8;0;0;0;7418
1;Los Pozos;43995;9;1;0;3;7418
1,1;Los Pozos;43996;10;0;0;0;7418
1,1;Los Pozos;43997;11;0;0;0;7418
1,1;Los Pozos;43998;12;1;0;0;7418
1,1;Los Pozos;43999;13;0;0;0;7418
1,1;Los Pozos;44000;14;1;0;0;7418
1;Los Pozos;44001;15;5;0;0;7418
1;Los Pozos;44002;16;0;0;0;7418
NA;Los Santos;43988;2;0;0;0;26043
0;Los Santos;43989;3;0;0;0;26043
0;Los Santos;43990;4;0;0;0;26043
-0,5;Los Santos;43991;5;2;0;0;26043
-0,4;Los Santos;43992;6;0;0;0;26043
-0,3;Los Santos;43993;7;0;0;0;26043
-0,3;Los Santos;43994;8;0;0;0;26043
1,7;Los Santos;43995;9;1;0;1;26043
1,8;Los Santos;43996;10;0;0;0;26043
1,6;Los Santos;43997;11;2;0;0;26043
1,6;Los Santos;43998;12;0;0;0;26043
1,6;Los Santos;43999;13;0;0;0;26043
3,1;Los Santos;44000;14;4;0;1;26043
3,1;Los Santos;44001;15;1;0;0;26043
3,1;Los Santos;44002;16;0;0;0;26043
NA;Macaracas;43988;2;0;0;0;8852
0;Macaracas;43989;3;0;0;0;8852
0;Macaracas;43990;4;0;0;0;8852
2,1;Macaracas;43991;5;51;0;49;8852
2,1;Macaracas;43992;6;0;0;0;8852
2,4;Macaracas;43993;7;72;0;33;8852
2,4;Macaracas;43994;8;0;0;0;8852
1,6;Macaracas;43995;9;70;0;133;8852
1,6;Macaracas;43996;10;29;1;0;8852
1,5;Macaracas;43997;11;69;1;'-1;8852
1,5;Macaracas;43998;12;33;4;1;8852
1,5;Macaracas;43999;13;0;0;0;8852
1,4;Macaracas;44000;14;77;2;0;8852
1,4;Macaracas;44001;15;47;1;31;8852
1,4;Macaracas;44002;16;39;1;0;8852
NA;Mariato;43988;2;0;0;0;5280
0;Mariato;43989;3;0;0;0;5280
0;Mariato;43990;4;0;0;0;5280
0;Mariato;43991;5;0;0;0;5280
0;Mariato;43992;6;0;0;0;5280
0;Mariato;43993;7;0;0;0;5280
0;Mariato;43994;8;0;0;0;5280
-0,5;Mariato;43995;9;4;0;0;5280
-0,4;Mariato;43996;10;0;0;0;5280
-0,4;Mariato;43997;11;0;0;0;5280
-0,4;Mariato;43998;12;1;0;0;5280
-0,3;Mariato;43999;13;0;0;0;5280
-0,4;Mariato;44000;14;3;0;0;5280
-0,3;Mariato;44001;15;0;0;0;5280
-0,3;Mariato;44002;16;1;0;0;5280
NA;Mironó;43988;2;0;0;0;19909
0;Mironó;43989;3;0;0;0;19909
0;Mironó;43990;4;0;0;0;19909
0;Mironó;43991;5;0;0;0;19909
0;Mironó;43992;6;0;0;0;19909
0;Mironó;43993;7;0;0;0;19909
0;Mironó;43994;8;0;0;0;19909
2;Mironó;43995;9;1;0;1;19909
2;Mironó;43996;10;0;0;0;19909
2;Mironó;43997;11;0;0;0;19909
2;Mironó;43998;12;0;0;0;19909
2;Mironó;43999;13;0;0;0;19909
2;Mironó;44000;14;0;0;0;19909
2;Mironó;44001;15;0;0;0;19909
2;Mironó;44002;16;0;0;0;19909
NA;Montijo;43988;2;0;0;0;6723
0;Montijo;43989;3;0;0;0;6723
0;Montijo;43990;4;0;0;0;6723
5,3;Montijo;43991;5;26;0;6;6723
5,3;Montijo;43992;6;0;0;0;6723
5,2;Montijo;43993;7;19;1;5;6723
5,2;Montijo;43994;8;0;0;0;6723
2;Montijo;43995;9;28;0;29;6723
2;Montijo;43996;10;5;0;3;6723
2;Montijo;43997;11;4;0;'-2;6723
2;Montijo;43998;12;2;0;1;6723
2;Montijo;43999;13;0;0;0;6723
2;Montijo;44000;14;20;1;'-1;6723
1,9;Montijo;44001;15;1;1;7;6723
1,9;Montijo;44002;16;8;1;0;6723
NA;Müna;43988;2;0;0;0;40320
0;Müna;43989;3;0;0;0;40320
0;Müna;43990;4;0;0;0;40320
2,5;Müna;43991;5;29;0;20;40320
2,5;Müna;43992;6;0;0;0;40320
2,5;Müna;43993;7;13;0;8;40320
2,5;Müna;43994;8;0;0;0;40320
1,8;Müna;43995;9;28;0;39;40320
1,8;Müna;43996;10;8;0;0;40320
1,8;Müna;43997;11;8;0;0;40320
1,7;Müna;43998;12;11;1;0;40320
1,8;Müna;43999;13;0;0;0;40320
1,7;Müna;44000;14;29;0;1;40320
1,7;Müna;44001;15;10;1;7;40320
1,6;Müna;44002;16;37;0;0;40320
NA;Natá;43988;2;0;0;0;20225
0;Natá;43989;3;0;0;0;20225
0;Natá;43990;4;0;0;0;20225
13;Natá;43991;5;22;2;2;20225
13;Natá;43992;6;0;0;0;20225
13,2;Natá;43993;7;13;0;1;20225
13,2;Natá;43994;8;0;0;0;20225
1,5;Natá;43995;9;11;0;19;20225
1,5;Natá;43996;10;5;0;0;20225
1,5;Natá;43997;11;5;0;'-1;20225
1,4;Natá;43998;12;6;0;0;20225
1,5;Natá;43999;13;0;0;0;20225
1,4;Natá;44000;14;12;0;0;20225
1,4;Natá;44001;15;9;0;4;20225
1,4;Natá;44002;16;9;0;1;20225
NA;Nole Duima;43988;2;0;0;0;20013
0;Nole Duima;43989;3;0;0;0;20013
0;Nole Duima;43990;4;0;0;0;20013
2,4;Nole Duima;43991;5;6;1;5;20013
2,4;Nole Duima;43992;6;0;0;0;20013
2,1;Nole Duima;43993;7;8;0;8;20013
2,1;Nole Duima;43994;8;0;0;0;20013
1,3;Nole Duima;43995;9;7;0;26;20013
1,3;Nole Duima;43996;10;6;0;0;20013
1,3;Nole Duima;43997;11;5;0;'-1;20013
1,3;Nole Duima;43998;12;2;0;0;20013
1,3;Nole Duima;43999;13;0;0;0;20013
1,2;Nole Duima;44000;14;8;0;0;20013
1,2;Nole Duima;44001;15;1;0;0;20013
1,2;Nole Duima;44002;16;12;0;1;20013
NA;Ñürün;43988;2;0;0;0;16737
0;Ñürün;43989;3;0;0;0;16737
0;Ñürün;43990;4;0;0;0;16737
2;Ñürün;43991;5;2;0;2;16737
2;Ñürün;43992;6;0;0;0;16737
1,1;Ñürün;43993;7;0;0;4;16737
1,2;Ñürün;43994;8;0;0;0;16737
1,8;Ñürün;43995;9;8;0;8;16737
1,8;Ñürün;43996;10;1;0;0;16737
1,8;Ñürün;43997;11;4;0;5;16737
1,8;Ñürün;43998;12;0;0;0;16737
1,8;Ñürün;43999;13;0;0;0;16737
1,7;Ñürün;44000;14;4;0;0;16737
1,7;Ñürün;44001;15;1;0;1;16737
1,7;Ñürün;44002;16;6;0;0;16737
NA;Ocú;43988;2;0;0;0;15406
0;Ocú;43989;3;0;0;0;15406
0;Ocú;43990;4;0;0;0;15406
0;Ocú;43991;5;0;0;0;15406
0;Ocú;43992;6;0;0;0;15406
-0,2;Ocú;43993;7;1;0;0;15406
-0,1;Ocú;43994;8;0;0;0;15406
-0,1;Ocú;43995;9;0;0;0;15406
-0,1;Ocú;43996;10;0;0;0;15406
-0,1;Ocú;43997;11;0;0;0;15406
-0,1;Ocú;43998;12;0;0;0;15406
-0,1;Ocú;43999;13;0;0;0;15406
-0,1;Ocú;44000;14;0;0;0;15406
-0,1;Ocú;44001;15;0;0;0;15406
-0,1;Ocú;44002;16;0;0;0;15406
NA;Olá;43988;2;0;0;0;6371
0;Olá;43989;3;0;0;0;6371
0;Olá;43990;4;0;0;0;6371
-2;Olá;43991;5;8;0;0;6371
-1,6;Olá;43992;6;0;0;0;6371
-1,6;Olá;43993;7;7;0;0;6371
-1,4;Olá;43994;8;0;0;0;6371
5,3;Olá;43995;9;15;0;3;6371
5,4;Olá;43996;10;0;0;0;6371
5,5;Olá;43997;11;0;0;0;6371
5,4;Olá;43998;12;3;0;0;6371
5,5;Olá;43999;13;0;0;0;6371
5,3;Olá;44000;14;6;0;0;6371
5,4;Olá;44001;15;1;0;0;6371
5,4;Olá;44002;16;0;0;0;6371
NA;Omar Torrijos Herrera;43988;2;0;0;0;2554
0;Omar Torrijos Herrera;43989;3;0;0;0;2554
0;Omar Torrijos Herrera;43990;4;0;0;0;2554
5;Omar Torrijos Herrera;43991;5;4;0;1;2554
5;Omar Torrijos Herrera;43992;6;0;0;0;2554
5,5;Omar Torrijos Herrera;43993;7;5;0;1;2554
5,5;Omar Torrijos Herrera;43994;8;0;0;0;2554
1,3;Omar Torrijos Herrera;43995;9;8;0;21;2554
1,3;Omar Torrijos Herrera;43996;10;2;0;0;2554
1,3;Omar Torrijos Herrera;43997;11;3;0;0;2554
1,3;Omar Torrijos Herrera;43998;12;2;0;0;2554
1,3;Omar Torrijos Herrera;43999;13;0;0;0;2554
1,3;Omar Torrijos Herrera;44000;14;6;0;0;2554
1,3;Omar Torrijos Herrera;44001;15;0;0;0;2554
1,3;Omar Torrijos Herrera;44002;16;18;0;1;2554
NA;Panamá;43988;2;0;0;0;1044023
2;Panamá;43989;3;1;0;1;1044023
2;Panamá;43990;4;0;0;0;1044023
3,2;Panamá;43991;5;277;7;129;1044023
3,2;Panamá;43992;6;0;0;0;1044023
3,4;Panamá;43993;7;243;4;86;1044023
3,4;Panamá;43994;8;0;0;0;1044023
1,6;Panamá;43995;9;283;2;497;1044023
1,6;Panamá;43996;10;103;3;4;1044023
1,6;Panamá;43997;11;186;1;5;1044023
1,6;Panamá;43998;12;66;0;1;1044023
1,6;Panamá;43999;13;0;0;0;1044023
1,5;Panamá;44000;14;262;2;'-1;1044023
1,5;Panamá;44001;15;161;1;99;1044023
1,5;Panamá;44002;16;171;0;4;1044023
NA;Parita;43988;2;0;0;0;8934
0;Parita;43989;3;0;0;0;8934
0;Parita;43990;4;0;0;0;8934
1,8;Parita;43991;5;9;0;11;8934
1,8;Parita;43992;6;0;0;0;8934
1,8;Parita;43993;7;7;0;8;8934
1,8;Parita;43994;8;0;0;0;8934
1,9;Parita;43995;9;22;0;23;8934
1,9;Parita;43996;10;4;0;0;8934
1,9;Parita;43997;11;7;0;0;8934
1,9;Parita;43998;12;0;0;0;8934
1,9;Parita;43999;13;0;0;0;8934
1,7;Parita;44000;14;23;0;0;8934
1,8;Parita;44001;15;0;0;0;8934
1,8;Parita;44002;16;17;0;3;8934
NA;Pedasí;43988;2;0;0;0;4480
0;Pedasí;43989;3;0;0;0;4480
0;Pedasí;43990;4;0;0;0;4480
-0,3;Pedasí;43991;5;1;0;0;4480
-0,2;Pedasí;43992;6;0;0;0;4480
1,1;Pedasí;43993;7;1;0;10;4480
1,1;Pedasí;43994;8;0;0;0;4480
1;Pedasí;43995;9;7;0;0;4480
1;Pedasí;43996;10;0;0;0;4480
1;Pedasí;43997;11;0;0;0;4480
1;Pedasí;43998;12;0;0;0;4480
1;Pedasí;43999;13;0;0;0;4480
1,1;Pedasí;44000;14;3;0;9;4480
1,1;Pedasí;44001;15;0;0;0;4480
1,1;Pedasí;44002;16;0;0;0;4480
NA;Penonomé;43988;2;0;0;0;93425
0;Penonomé;43989;3;0;0;0;93425
0;Penonomé;43990;4;0;0;0;93425
4,6;Penonomé;43991;5;51;0;14;93425
4,6;Penonomé;43992;6;0;0;0;93425
4,1;Penonomé;43993;7;17;2;10;93425
4,1;Penonomé;43994;8;0;0;0;93425
1,5;Penonomé;43995;9;27;0;57;93425
1,5;Penonomé;43996;10;15;0;0;93425
1,5;Penonomé;43997;11;19;0;0;93425
1,5;Penonomé;43998;12;10;0;0;93425
1,5;Penonomé;43999;13;0;0;0;93425
1,5;Penonomé;44000;14;26;0;0;93425
1,5;Penonomé;44001;15;23;0;8;93425
1,4;Penonomé;44002;16;31;0;0;93425
NA;Pesé;43988;2;0;0;0;12397
0;Pesé;43989;3;0;0;0;12397
0;Pesé;43990;4;0;0;0;12397
0;Pesé;43991;5;0;0;0;12397
0;Pesé;43992;6;0;0;0;12397
0;Pesé;43993;7;0;0;0;12397
0;Pesé;43994;8;0;0;0;12397
-0,1;Pesé;43995;9;1;0;0;12397
-0,1;Pesé;43996;10;0;0;0;12397
-0,1;Pesé;43997;11;0;0;0;12397
-0,1;Pesé;43998;12;0;0;0;12397
-0,1;Pesé;43999;13;0;0;0;12397
-0,1;Pesé;44000;14;0;0;0;12397
-0,1;Pesé;44001;15;0;0;0;12397
-0,1;Pesé;44002;16;0;0;0;12397
NA;Pinogana;43988;2;0;0;0;21093
0;Pinogana;43989;3;0;0;0;21093
0;Pinogana;43990;4;0;0;0;21093
18;Pinogana;43991;5;34;0;2;21093
18;Pinogana;43992;6;0;0;0;21093
23,2;Pinogana;43993;7;53;0;1;21093
23,6;Pinogana;43994;8;0;0;0;21093
7,1;Pinogana;43995;9;49;0;8;21093
7,1;Pinogana;43996;10;8;0;0;21093
7,1;Pinogana;43997;11;6;0;0;21093
6,7;Pinogana;43998;12;31;0;0;21093
6,9;Pinogana;43999;13;0;0;0;21093
6,8;Pinogana;44000;14;18;0;0;21093
6,8;Pinogana;44001;15;3;0;1;21093
6,8;Pinogana;44002;16;4;0;0;21093
NA;Pocrí;43988;2;0;0;0;3321
0;Pocrí;43989;3;0;0;0;3321
0;Pocrí;43990;4;0;0;0;3321
0;Pocrí;43991;5;0;0;0;3321
0;Pocrí;43992;6;0;0;0;3321
0;Pocrí;43993;7;0;0;0;3321
0;Pocrí;43994;8;0;0;0;3321
3;Pocrí;43995;9;2;0;1;3321
3;Pocrí;43996;10;0;0;0;3321
3;Pocrí;43997;11;0;0;0;3321
3;Pocrí;43998;12;0;0;0;3321
3;Pocrí;43999;13;0;0;0;3321
3;Pocrí;44000;14;0;0;0;3321
3;Pocrí;44001;15;0;0;0;3321
3;Pocrí;44002;16;0;0;0;3321
NA;Portobelo;43988;2;0;0;0;10430
1;Portobelo;43989;3;0;0;57;10430
1;Portobelo;43990;4;0;0;0;10430
2,3;Portobelo;43991;5;144;1;54;10430
2,3;Portobelo;43992;6;0;0;0;10430
1,6;Portobelo;43993;7;54;0;119;10430
1,6;Portobelo;43994;8;0;0;0;10430
1,4;Portobelo;43995;9;92;0;262;10430
1,3;Portobelo;43996;10;44;0;0;10430
1,3;Portobelo;43997;11;27;3;3;10430
1,3;Portobelo;43998;12;21;2;0;10430
1,3;Portobelo;43999;13;0;0;0;10430
1,3;Portobelo;44000;14;82;3;3;10430
1,3;Portobelo;44001;15;40;0;63;10430
1,3;Portobelo;44002;16;68;1;2;10430
NA;Remedios;43988;2;0;0;0;4214
0;Remedios;43989;3;0;0;0;4214
0;Remedios;43990;4;0;0;0;4214
3,2;Remedios;43991;5;11;0;5;4214
3,2;Remedios;43992;6;0;0;0;4214
2,9;Remedios;43993;7;2;0;3;4214
2,9;Remedios;43994;8;0;0;0;4214
2,6;Remedios;43995;9;4;0;4;4214
2,5;Remedios;43996;10;3;0;0;4214
2,5;Remedios;43997;11;1;0;0;4214
2,3;Remedios;43998;12;5;0;0;4214
2,3;Remedios;43999;13;0;0;0;4214
2,3;Remedios;44000;14;2;0;0;4214
2,3;Remedios;44001;15;4;1;1;4214
2,3;Remedios;44002;16;1;0;0;4214
NA;Renacimiento;43988;2;0;0;0;20887
0;Renacimiento;43989;3;0;0;0;20887
0;Renacimiento;43990;4;0;0;0;20887
0;Renacimiento;43991;5;0;0;0;20887
0;Renacimiento;43992;6;0;0;0;20887
0;Renacimiento;43993;7;0;0;0;20887
0;Renacimiento;43994;8;0;0;0;20887
0;Renacimiento;43995;9;0;0;0;20887
0;Renacimiento;43996;10;0;0;0;20887
0;Renacimiento;43997;11;0;0;0;20887
0;Renacimiento;43998;12;0;0;0;20887
0;Renacimiento;43999;13;0;0;0;20887
0;Renacimiento;44000;14;0;0;0;20887
0;Renacimiento;44001;15;0;0;0;20887
-0,1;Renacimiento;44002;16;1;0;0;20887
NA;Río de Jesús;43988;2;0;0;0;5244
0;Río de Jesús;43989;3;0;0;0;5244
0;Río de Jesús;43990;4;0;0;0;5244
0;Río de Jesús;43991;5;0;0;0;5244
0;Río de Jesús;43992;6;0;0;0;5244
0;Río de Jesús;43993;7;0;0;0;5244
0;Río de Jesús;43994;8;0;0;0;5244
0;Río de Jesús;43995;9;0;0;0;5244
0;Río de Jesús;43996;10;0;0;0;5244
0;Río de Jesús;43997;11;0;0;0;5244
0;Río de Jesús;43998;12;0;0;0;5244
0;Río de Jesús;43999;13;0;0;0;5244
0;Río de Jesús;44000;14;0;0;0;5244
0;Río de Jesús;44001;15;0;0;0;5244
0;Río de Jesús;44002;16;0;0;0;5244
NA;Sambú;43988;2;0;0;0;2760
0;Sambú;43989;3;0;0;0;2760
0;Sambú;43990;4;0;0;0;2760
0;Sambú;43991;5;0;0;0;2760
0;Sambú;43992;6;0;0;0;2760
0;Sambú;43993;7;0;0;0;2760
0;Sambú;43994;8;0;0;0;2760
0;Sambú;43995;9;0;0;0;2760
0;Sambú;43996;10;0;0;0;2760
0;Sambú;43997;11;0;0;0;2760
0;Sambú;43998;12;0;0;0;2760
0;Sambú;43999;13;0;0;0;2760
0;Sambú;44000;14;0;0;0;2760
0;Sambú;44001;15;0;0;0;2760
0;Sambú;44002;16;0;0;0;2760
NA;San Carlos;43988;2;0;0;0;22800
0;San Carlos;43989;3;0;0;0;22800
0;San Carlos;43990;4;0;0;0;22800
10,7;San Carlos;43991;5;28;1;3;22800
10,7;San Carlos;43992;6;0;0;0;22800
4;San Carlos;43993;7;19;1;8;22800
4,1;San Carlos;43994;8;0;0;0;22800
1,5;San Carlos;43995;9;11;0;24;22800
1,5;San Carlos;43996;10;3;0;0;22800
1,5;San Carlos;43997;11;11;0;0;22800
1,5;San Carlos;43998;12;7;0;0;22800
1,5;San Carlos;43999;13;0;0;0;22800
1,4;San Carlos;44000;14;17;0;0;22800
1,6;San Carlos;44001;15;23;0;13;22800
1,6;San Carlos;44002;16;17;0;0;22800
NA;San Félix;43988;2;0;0;0;6627
0;San Félix;43989;3;0;0;0;6627
0;San Félix;43990;4;0;0;0;6627
0;San Félix;43991;5;0;0;0;6627
0;San Félix;43992;6;0;0;0;6627
0;San Félix;43993;7;0;0;0;6627
0;San Félix;43994;8;0;0;0;6627
1,3;San Félix;43995;9;1;0;3;6627
1,3;San Félix;43996;10;0;0;0;6627
1,3;San Félix;43997;11;0;0;0;6627
1,3;San Félix;43998;12;0;0;0;6627
1,3;San Félix;43999;13;0;0;0;6627
1,3;San Félix;44000;14;0;0;0;6627
1,3;San Félix;44001;15;0;0;0;6627
1,3;San Félix;44002;16;0;0;0;6627
NA;San Francisco;43988;2;0;0;0;10027
0;San Francisco;43989;3;0;0;0;10027
0;San Francisco;43990;4;0;0;0;10027
-0,3;San Francisco;43991;5;1;0;0;10027
-0,2;San Francisco;43992;6;0;0;0;10027
-0,2;San Francisco;43993;7;0;0;0;10027
-0,1;San Francisco;43994;8;0;0;0;10027
-0,2;San Francisco;43995;9;1;0;0;10027
0,8;San Francisco;43996;10;0;0;1;10027
0,8;San Francisco;43997;11;0;0;0;10027
0,7;San Francisco;43998;12;1;0;0;10027
0,7;San Francisco;43999;13;0;0;0;10027
0,7;San Francisco;44000;14;1;0;0;10027
1,2;San Francisco;44001;15;1;0;1;10027
1,2;San Francisco;44002;16;0;0;0;10027
NA;San Lorenzo;43988;2;0;0;0;7815
-0,5;San Lorenzo;43989;3;'-1;0;0;7815
-0,3;San Lorenzo;43990;4;0;0;0;7815
9;San Lorenzo;43991;5;39;1;5;7815
9;San Lorenzo;43992;6;0;0;0;7815
9,8;San Lorenzo;43993;7;48;0;5;7815
9,8;San Lorenzo;43994;8;0;0;0;7815
2,2;San Lorenzo;43995;9;46;0;37;7815
2,2;San Lorenzo;43996;10;17;0;0;7815
2,1;San Lorenzo;43997;11;23;0;2;7815
2,1;San Lorenzo;43998;12;16;0;'-2;7815
2,2;San Lorenzo;43999;13;0;0;0;7815
2,1;San Lorenzo;44000;14;28;0;1;7815
2,2;San Lorenzo;44001;15;30;0;8;7815
2,1;San Lorenzo;44002;16;24;0;0;7815
NA;San Miguelito;43988;2;0;0;0;357034
0;San Miguelito;43989;3;0;0;0;357034
0;San Miguelito;43990;4;0;0;0;357034
3,9;San Miguelito;43991;5;40;1;14;357034
3,9;San Miguelito;43992;6;0;0;0;357034
4,3;San Miguelito;43993;7;40;1;7;357034
4,4;San Miguelito;43994;8;0;0;0;357034
1,5;San Miguelito;43995;9;33;0;69;357034
1,4;San Miguelito;43996;10;24;2;6;357034
1,4;San Miguelito;43997;11;23;1;2;357034
1,4;San Miguelito;43998;12;9;0;1;357034
1,5;San Miguelito;43999;13;0;0;0;357034
1,4;San Miguelito;44000;14;25;0;0;357034
1,4;San Miguelito;44001;15;31;0;12;357034
1,4;San Miguelito;44002;16;28;0;1;357034
NA;Santa Catalina o Calovébora;43988;2;0;0;0;7241
0;Santa Catalina o Calovébora;43989;3;0;0;0;7241
0;Santa Catalina o Calovébora;43990;4;0;0;0;7241
0;Santa Catalina o Calovébora;43991;5;0;0;0;7241
0;Santa Catalina o Calovébora;43992;6;0;0;0;7241
-0,3;Santa Catalina o Calovébora;43993;7;2;0;0;7241
-0,3;Santa Catalina o Calovébora;43994;8;0;0;0;7241
-1,2;Santa Catalina o Calovébora;43995;9;10;0;0;7241
-1,1;Santa Catalina o Calovébora;43996;10;0;0;0;7241
-1;Santa Catalina o Calovébora;43997;11;0;0;0;7241
-0,9;Santa Catalina o Calovébora;43998;12;0;0;0;7241
-0,8;Santa Catalina o Calovébora;43999;13;0;0;0;7241
-0,8;Santa Catalina o Calovébora;44000;14;1;0;0;7241
-0,7;Santa Catalina o Calovébora;44001;15;1;0;0;7241
-0,7;Santa Catalina o Calovébora;44002;16;0;0;0;7241
NA;Santa Fe;43988;2;0;0;0;34434
0;Santa Fe;43989;3;0;0;0;34434
0;Santa Fe;43990;4;0;0;0;34434
3,8;Santa Fe;43991;5;17;0;6;34434
3,8;Santa Fe;43992;6;0;0;0;34434
4;Santa Fe;43993;7;12;1;2;34434
4;Santa Fe;43994;8;0;0;0;34434
1,5;Santa Fe;43995;9;16;0;30;34434
1,5;Santa Fe;43996;10;8;0;0;34434
1,5;Santa Fe;43997;11;5;0;0;34434
1,5;Santa Fe;43998;12;4;0;0;34434
1,5;Santa Fe;43999;13;0;0;0;34434
1,4;Santa Fe;44000;14;18;0;0;34434
1,4;Santa Fe;44001;15;6;0;12;34434
1,4;Santa Fe;44002;16;9;0;0;34434
NA;Santa Isabel;43988;2;0;0;0;3921
0;Santa Isabel;43989;3;0;0;0;3921
0;Santa Isabel;43990;4;0;0;0;3921
-1;Santa Isabel;43991;5;4;0;0;3921
-0,8;Santa Isabel;43992;6;0;0;0;3921
2,2;Santa Isabel;43993;7;2;0;1;3921
2,3;Santa Isabel;43994;8;0;0;0;3921
2,1;Santa Isabel;43995;9;2;0;0;3921
3,5;Santa Isabel;43996;10;11;0;4;3921
3,5;Santa Isabel;43997;11;1;0;0;3921
3,3;Santa Isabel;43998;12;6;0;0;3921
3,4;Santa Isabel;43999;13;0;0;0;3921
3,3;Santa Isabel;44000;14;5;0;0;3921
3,3;Santa Isabel;44001;15;0;0;0;3921
3,3;Santa Isabel;44002;16;0;0;0;3921
NA;Santa María;43988;2;0;0;0;7519
0;Santa María;43989;3;0;0;0;7519
0;Santa María;43990;4;0;0;0;7519
7;Santa María;43991;5;6;0;1;7519
7;Santa María;43992;6;0;0;0;7519
5,5;Santa María;43993;7;3;0;1;7519
5,5;Santa María;43994;8;0;0;0;7519
1,4;Santa María;43995;9;9;0;19;7519
1,4;Santa María;43996;10;2;0;0;7519
1,4;Santa María;43997;11;4;0;0;7519
1,4;Santa María;43998;12;0;0;0;7519
1,4;Santa María;43999;13;0;0;0;7519
1,4;Santa María;44000;14;13;0;0;7519
1,4;Santa María;44001;15;0;0;0;7519
1,4;Santa María;44002;16;7;0;5;7519
NA;Santiago;43988;2;0;0;0;94960
1;Santiago;43989;3;'-2;0;201;94960
1;Santiago;43990;4;0;0;0;94960
0,9;Santiago;43991;5;87;2;39;94960
1;Santiago;43992;6;0;0;0;94960
0,9;Santiago;43993;7;73;0;17;94960
1;Santiago;43994;8;0;0;0;94960
1;Santiago;43995;9;37;'-1;134;94960
1;Santiago;43996;10;25;0;0;94960
1;Santiago;43997;11;17;0;3;94960
1;Santiago;43998;12;16;0;1;94960
1;Santiago;43999;13;0;0;0;94960
1;Santiago;44000;14;55;1;0;94960
1;Santiago;44001;15;46;0;23;94960
1;Santiago;44002;16;31;0;0;94960
NA;Soná;43988;2;0;0;0;28317
0;Soná;43989;3;0;0;0;28317
0;Soná;43990;4;0;0;0;28317
2,4;Soná;43991;5;64;2;49;28317
2,4;Soná;43992;6;0;0;0;28317
2,3;Soná;43993;7;47;0;9;28317
2,4;Soná;43994;8;0;0;0;28317
1,8;Soná;43995;9;57;1;79;28317
1,8;Soná;43996;10;23;0;0;28317
1,8;Soná;43997;11;26;1;3;28317
1,8;Soná;43998;12;13;0;0;28317
1,8;Soná;43999;13;0;0;0;28317
1,7;Soná;44000;14;48;1;0;28317
1,7;Soná;44001;15;26;0;30;28317
1,7;Soná;44002;16;39;1;0;28317
NA;Taboga;43988;2;0;0;0;1324
0;Taboga;43989;3;0;0;0;1324
0;Taboga;43990;4;0;0;0;1324
0;Taboga;43991;5;0;0;0;1324
0;Taboga;43992;6;0;0;0;1324
0;Taboga;43993;7;0;0;0;1324
0;Taboga;43994;8;0;0;0;1324
0;Taboga;43995;9;0;0;0;1324
0;Taboga;43996;10;0;0;0;1324
0;Taboga;43997;11;0;0;0;1324
0;Taboga;43998;12;0;0;0;1324
0;Taboga;43999;13;0;0;0;1324
0;Taboga;44000;14;0;0;0;1324
0;Taboga;44001;15;0;0;0;1324
-0,1;Taboga;44002;16;1;0;0;1324
NA;Tierras Altas;43988;2;0;0;0;21343
0;Tierras Altas;43989;3;0;0;0;21343
0;Tierras Altas;43990;4;0;0;0;21343
0;Tierras Altas;43991;5;0;0;0;21343
0;Tierras Altas;43992;6;0;0;0;21343
0;Tierras Altas;43993;7;0;0;0;21343
0;Tierras Altas;43994;8;0;0;0;21343
0;Tierras Altas;43995;9;0;0;0;21343
0;Tierras Altas;43996;10;0;0;0;21343
0;Tierras Altas;43997;11;0;0;0;21343
-0,1;Tierras Altas;43998;12;1;0;0;21343
-0,1;Tierras Altas;43999;13;0;0;0;21343
-0,1;Tierras Altas;44000;14;0;0;0;21343
-0,1;Tierras Altas;44001;15;0;0;0;21343
-0,1;Tierras Altas;44002;16;0;0;0;21343
NA;Tolé;43988;2;0;0;0;12344
0;Tolé;43989;3;0;0;0;12344
0;Tolé;43990;4;0;0;0;12344
1,7;Tolé;43991;5;2;0;3;12344
1,7;Tolé;43992;6;0;0;0;12344
1,9;Tolé;43993;7;5;0;1;12344
